time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1773322300.96534610,0.03279262,6250,0.00038689,0.00000000,0,0.00000000,13081,13101,44,0.00162469
1773322301.06550837,0.04233784,6241,0.00108420,0.00000000,0,0.00000000,13101,13101,52,0.00372282
1773322301.16551971,0.01947328,6215,0.00026589,0.00000000,0,0.00000000,13101,13122,51,0.00112616
1773322301.26454449,0.01673700,6277,0.00016965,0.00000000,0,0.00000000,13122,13143,41,0.00347726
1773322301.36584878,0.02658869,6251,0.00039231,0.00000000,0,0.00000000,13143,13177,45,0.00247740
1773322301.46481609,0.04487386,6253,0.00128510,0.00000000,0,0.00000000,13177,13200,61,0.00652298
1773322301.56486535,0.01565038,6227,0.00025324,0.00000000,0,0.00000000,13200,13224,55,0.00151624
1773322301.66446853,0.01586767,6247,0.00079431,0.00000000,0,0.00000000,13224,13259,79,0.00095184
1773322301.76442814,0.01708709,6305,0.00044885,0.00000000,0,0.00000000,13259,13304,82,0.00189638
1773322301.86450934,0.01877323,6244,0.00036824,0.00000000,0,0.00000000,13304,13259,62,0.00322653
1773322301.96468377,0.01623411,6261,0.00023152,0.00000000,0,0.00000000,13259,13270,47,0.00165625
1773322302.06482458,0.01717057,6269,0.00028442,0.00000000,0,0.00000000,13270,13277,49,0.00289771
1773322302.16499615,0.01966604,6247,0.00034595,0.00000000,0,0.00000000,13277,13303,56,0.00171662
1773322302.26504850,0.02115111,6275,0.00030859,0.00000000,0,0.00000000,13303,13312,44,0.00100180
1773322302.36523676,0.01698691,6267,0.00027421,0.00000000,0,0.00000000,13312,13341,51,0.00095364
1773322302.46540999,0.01972477,6229,0.00050176,0.00000000,0,0.00000000,13341,13362,47,0.00112811
1773322302.56533360,0.01645853,6251,0.00054923,0.00000000,0,0.00000000,13362,13375,54,0.00244651
1773322302.66547298,0.01625716,6247,0.00042127,0.00000000,0,0.00000000,13375,13404,45,0.00300117
1773322302.76557422,0.01442660,6215,0.00055317,0.00000000,0,0.00000000,13404,13419,51,0.00202061
1773322302.86472321,0.02005672,6251,0.00029089,0.00000000,0,0.00000000,13419,13425,56,0.00254301
1773322302.96486092,0.01916698,6215,0.00026283,0.00000000,0,0.00000000,13425,13435,53,0.00091782
1773322303.06443906,0.02392308,6214,0.00046430,0.00000000,0,0.00000000,13435,13125,45,0.00097454
1773322303.16436481,0.01786774,6261,0.00066887,0.00000000,0,0.00000000,13125,13138,49,0.00098142
